Year,State,SEIFA_Quintile,Actual,Adjusted
2014,WA,Q3,33.3889363414085,39.1681719823691
2014,WA,Q4,34.1422333454987,40.0518559161222
2014,WA,Q5,35.3773677675868,41.5007777077904
2015,ACT,Q1,39.6254589160839,50.0232831292264
2015,ACT,Q4,37.5243788152781,47.3708741064724
2015,ACT,Q5,39.5726225015339,49.9565823011007
2015,Aus,Q1,29.1441526249483,35.986338780103
2015,Aus,Q2,31.2723268550906,38.614145455924
2015,Aus,Q3,31.9029876828538,39.3928668171276
2015,Aus,Q4,33.3183664784946,41.1405347454963
2015,Aus,Q5,36.2619360647342,44.7751675212849
2015,NSW,Q1,27.6572699532774,34.1306050428697
2015,NSW,Q2,29.7629621379473,36.7291459841209
2015,NSW,Q3,30.2861398876906,37.3747763436564
2015,NSW,Q4,32.8281160303266,40.5117158861084
2015,NSW,Q5,36.0794928612002,44.5240952224476
2015,NT,Q1,40.2886043571289,50.7819870861759
2015,NT,Q2,42.3613415783188,53.3945798150395
2015,NT,Q3,40.8636858816445,51.5068516730098
2015,NT,Q4,43.9739128434612,55.4271539006571
2015,NT,Q5,44.4440772742894,56.0197751749771
2015,Qld,Q1,30.2580068287875,37.7372921894509
2015,Qld,Q2,33.3667128890187,41.6144196416943
2015,Qld,Q3,33.9295565702787,42.3163890931814
2015,Qld,Q4,33.8438017706757,42.2094371069657
2015,Qld,Q5,35.2106338401712,43.9141277520676
2015,SA,Q1,25.7508700114247,32.126690059902
2015,SA,Q2,27.4624848367349,34.2620943771261
2015,SA,Q3,27.9321358561667,34.8480292496531
2015,SA,Q4,29.0908041824869,36.2935795625318
2015,SA,Q5,32.1243999713438,40.0782824340228
2015,Tas,Q1,31.0813198726882,39.7499047071014
2015,Tas,Q2,32.7486921920605,41.8823074196564
2015,Tas,Q3,34.069020209889,43.5708751222434
2015,Tas,Q4,34.4120193305753,44.0095367497981
2015,Tas,Q5,36.7154570249907,46.9554035671276
2015,Vic,Q1,28.8698635627709,35.6744435504192
2015,Vic,Q2,29.5262659306299,36.48555889108
2015,Vic,Q3,30.7833338339172,38.0389156590245
2015,Vic,Q4,32.5524640470201,40.2250269921611
2015,Vic,Q5,36.4543502728658,45.046581468906
2015,WA,Q1,34.1950743669554,40.2056318514765
2015,WA,Q2,34.2775257935175,40.3025759805171
2015,WA,Q3,34.9943927220055,41.1454484803394
2015,WA,Q4,35.8261288747833,42.1233810678604
2015,WA,Q5,37.3663005887838,43.9342727845049
2016,ACT,Q1,41.9083837510803,52.4196614516038
2016,ACT,Q4,39.1071919830379,48.9158870036565
2016,ACT,Q5,41.6513457900534,52.0981543522781
2016,Aus,Q1,30.5120100722405,37.4043305611542
